Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
AP019113.1,SAMD00141584,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN266_PBMC DNA, nearly complete genome",170486,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019114.1,SAMD00141585,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN267_PBMC DNA, complete genome",171371,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019115.1,SAMD00141586,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN27_PBMC DNA, nearly complete genome",157919,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019116.1,SAMD00141587,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN2723_PBMC DNA, nearly complete genome",119450,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019117.1,SAMD00141588,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN28_PBMC DNA, nearly complete genome",160539,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019118.1,SAMD00141589,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN301_CD56+ DNA, nearly complete genome",170618,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019119.1,SAMD00141590,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN303_CD56+ DNA, nearly complete genome",165378,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019120.1,SAMD00141591,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN306_CD56+ DNA, nearly complete genome",170335,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019121.1,SAMD00141592,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3065_PBMC DNA, nearly complete genome",171220,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019122.1,SAMD00141593,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN307_CD56+ DNA, nearly complete genome",170406,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019123.1,SAMD00141594,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN310_CD56+ DNA, nearly complete genome",170403,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019124.1,SAMD00141595,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN311_CD56+ DNA, nearly complete genome",169273,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019125.1,SAMD00141596,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3198_PBMC DNA, nearly complete genome",170929,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019126.1,SAMD00141597,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN322_CD3+ DNA, nearly complete genome",166672,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019127.1,SAMD00141598,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN322_CD56+ DNA, nearly complete genome",142196,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019128.1,SAMD00141599,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN326_PBMC DNA, nearly complete genome",161419,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019129.1,SAMD00141600,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3300_PBMC DNA, nearly complete genome",171396,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019130.1,SAMD00141601,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3448_PBMC DNA, nearly complete genome",170727,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019131.1,SAMD00141602,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3621_PBMC DNA, nearly complete genome",170880,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019132.1,SAMD00141603,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN365_CD3+ DNA, nearly complete genome",166541,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019133.1,SAMD00141604,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN365_CD56+ DNA, nearly complete genome",168469,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019134.1,SAMD00141605,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN366_CD3+ DNA, nearly complete genome",170165,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019135.1,SAMD00141606,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN366_CD56+ DNA, nearly complete genome",171188,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019136.1,SAMD00141607,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3707_PBMC DNA, nearly complete genome",165849,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019137.1,SAMD00141608,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN375_CD3+ DNA, nearly complete genome",170405,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019138.1,SAMD00141609,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN375_CD56+ DNA, nearly complete genome",169487,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019139.1,SAMD00141610,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN3755_tissue DNA, nearly complete genome",171240,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019140.1,SAMD00141611,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN404_CD3+ DNA, nearly complete genome",168315,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019141.1,SAMD00141612,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN404_CD56+ DNA, nearly complete genome",167827,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019142.1,SAMD00141613,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN404_PBMC DNA, nearly complete genome",168402,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019143.1,SAMD00141614,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN405_CD3+ DNA, nearly complete genome",146588,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019144.1,SAMD00141615,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN405_CD56+ DNA, nearly complete genome",166434,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019145.1,SAMD00141616,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN412_CD3+ DNA, nearly complete genome",156401,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019146.1,SAMD00141617,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN412_CD56+ DNA, nearly complete genome",157546,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
