Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_001467.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA A,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,,A,west kenyan 844,west kenyan 844, || begomovirus manihotis || begomovirus manihotis || complete ||  ||  || manihot esculenta ||  || west kenyan 844
KJ887899.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG86A1:06,A,"African cassava mosaic virus isolate MG:MG86A1:06 segment A, complete sequence",2780,complete,Madagascar,Madagascar,Manihot esculenta,2006-11-04,A,mg:mg86a1:06,mg:mg86a1:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-11-04 || mg:mg86a1:06
KJ887900.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG87A1:06,A,"African cassava mosaic virus isolate MG:MG87A1:06 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2006-11-04,A,mg:mg87a1:06,mg:mg87a1:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-11-04 || mg:mg87a1:06
KJ887901.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG88A1:06,A,"African cassava mosaic virus isolate MG:MG88A1:06 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2006-11-04,A,mg:mg88a1:06,mg:mg88a1:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-11-04 || mg:mg88a1:06
KJ887904.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG95A1:07,A,"African cassava mosaic virus isolate MG:MG95A1:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg95a1:07,mg:mg95a1:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg95a1:07
KJ887905.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG97A3:07,A,"African cassava mosaic virus isolate MG:MG97A3:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg97a3:07,mg:mg97a3:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg97a3:07
KJ887906.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG98A3:07,A,"African cassava mosaic virus isolate MG:MG98A3:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg98a3:07,mg:mg98a3:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg98a3:07
KJ887907.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG99A2:07,A,"African cassava mosaic virus isolate MG:MG99A2:07 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg99a2:07,mg:mg99a2:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg99a2:07
KJ887908.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG100A1:07,A,"African cassava mosaic virus isolate MG:MG100A1:07 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg100a1:07,mg:mg100a1:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg100a1:07
KJ887909.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG101A1:07,A,"African cassava mosaic virus isolate MG:MG101A1:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg101a1:07,mg:mg101a1:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg101a1:07
KJ887910.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG102A1:07,A,"African cassava mosaic virus isolate MG:MG102A1:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg102a1:07,mg:mg102a1:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg102a1:07
KJ887911.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG103A2:07,A,"African cassava mosaic virus isolate MG:MG103A2:07 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg103a2:07,mg:mg103a2:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg103a2:07
KJ887912.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG104A1:07,A,"African cassava mosaic virus isolate MG:MG104A1:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg104a1:07,mg:mg104a1:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg104a1:07
KJ887913.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG105A1:07,A,"African cassava mosaic virus isolate MG:MG105A1:07 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2007-03-02,A,mg:mg105a1:07,mg:mg105a1:07, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2007-03-02 || mg:mg105a1:07
KJ887914.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG112A2:09,A,"African cassava mosaic virus isolate MG:MG112A2:09 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2009-05-27,A,mg:mg112a2:09,mg:mg112a2:09, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2009-05-27 || mg:mg112a2:09
KJ887943.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG177A1:09,A,"African cassava mosaic virus isolate MG:MG177A1:09 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2009-06-03,A,mg:mg177a1:09,mg:mg177a1:09, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2009-06-03 || mg:mg177a1:09
KJ887954.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG214A2:08,A,"African cassava mosaic virus isolate MG:MG214A2:08 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2008-05-09,A,mg:mg214a2:08,mg:mg214a2:08, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2008-05-09 || mg:mg214a2:08
KJ887955.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG215A1:08,A,"African cassava mosaic virus isolate MG:MG215A1:08 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2008-10-09,A,mg:mg215a1:08,mg:mg215a1:08, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2008-10-09 || mg:mg215a1:08
KJ887956.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG215A2:09,A,"African cassava mosaic virus isolate MG:MG215A2:09 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2008-10-09,A,mg:mg215a2:09,mg:mg215a2:09, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2008-10-09 || mg:mg215a2:09
KJ887966.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG249A1:10,A,"African cassava mosaic virus isolate MG:MG249A1:10 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2010-04-29,A,mg:mg249a1:10,mg:mg249a1:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-04-29 || mg:mg249a1:10
KJ887974.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG306A2:10,A,"African cassava mosaic virus isolate MG:MG306A2:10 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,A,mg:mg306a2:10,mg:mg306a2:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg306a2:10
KJ887975.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG306A4:10,A,"African cassava mosaic virus isolate MG:MG306A4:10 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,A,mg:mg306a4:10,mg:mg306a4:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg306a4:10
KJ887976.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG307A1:10,A,"African cassava mosaic virus isolate MG:MG307A1:10 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,A,mg:mg307a1:10,mg:mg307a1:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg307a1:10
KJ887977.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG309A1:10,A,"African cassava mosaic virus isolate MG:MG309A1:10 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,A,mg:mg309a1:10,mg:mg309a1:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg309a1:10
KJ887978.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG310A1:10,A,"African cassava mosaic virus isolate MG:MG310A1:10 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,A,mg:mg310a1:10,mg:mg310a1:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg310a1:10
KJ887979.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG311A2:10,A,"African cassava mosaic virus isolate MG:MG311A2:10 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,A,mg:mg311a2:10,mg:mg311a2:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg311a2:10
KJ887980.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG318A1:10,A,"African cassava mosaic virus isolate MG:MG318A1:10 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-06,A,mg:mg318a1:10,mg:mg318a1:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-06 || mg:mg318a1:10
KJ887995.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG343A10:11,A,"African cassava mosaic virus isolate MG:MG343A10:11 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-23,A,mg:mg343a10:11,mg:mg343a10:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-23 || mg:mg343a10:11
KJ887997.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG349A3:11,A,"African cassava mosaic virus isolate MG:MG349A3:11 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-23,A,mg:mg349a3:11,mg:mg349a3:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-23 || mg:mg349a3:11
KJ888008.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG408A1:11,A,"African cassava mosaic virus isolate MG:MG408A1:11 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-25,A,mg:mg408a1:11,mg:mg408a1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-25 || mg:mg408a1:11
KJ888059.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG619A7:11,A,"African cassava mosaic virus isolate MG:MG619A7:11 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-03,A,mg:mg619a7:11,mg:mg619a7:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg619a7:11
KJ888062.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG624A1:11,A,"African cassava mosaic virus isolate MG:MG624A1:11 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-03,A,mg:mg624a1:11,mg:mg624a1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg624a1:11
KJ888067.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG632A2:11,A,"African cassava mosaic virus isolate MG:MG632A2:11 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,A,mg:mg632a2:11,mg:mg632a2:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg632a2:11
KJ888070.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG638A4:11,A,"African cassava mosaic virus isolate MG:MG638A4:11 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,A,mg:mg638a4:11,mg:mg638a4:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg638a4:11
KJ888075.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG648A1:11,A,"African cassava mosaic virus isolate MG:MG648A1:11 segment A, complete sequence",2783,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,A,mg:mg648a1:11,mg:mg648a1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg648a1:11
KJ888080.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG650A1:11,A,"African cassava mosaic virus isolate MG:MG650A1:11 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,A,mg:mg650a1:11,mg:mg650a1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg650a1:11
KJ888082.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG652A9:11,A,"African cassava mosaic virus isolate MG:MG652A9:11 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,A,mg:mg652a9:11,mg:mg652a9:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg652a9:11
KJ888086.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG656A1:11,A,"African cassava mosaic virus isolate MG:MG656A1:11 segment A, complete sequence",2782,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,A,mg:mg656a1:11,mg:mg656a1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg656a1:11
KJ888088.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG688A3:11,A,"African cassava mosaic virus isolate MG:MG688A3:11 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-06,A,mg:mg688a3:11,mg:mg688a3:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-06 || mg:mg688a3:11
KJ888096.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG729A4:11,A,"African cassava mosaic virus isolate MG:MG729A4:11 segment A, complete sequence",2781,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-09,A,mg:mg729a4:11,mg:mg729a4:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-09 || mg:mg729a4:11
KJ888098.1,,Begomovirus manihotis,Begomovirus manihotis,TD:TD3A:08,A,"African cassava mosaic virus isolate TD:TD3A:08 segment A, complete sequence",2780,complete,Chad,Chad,Manihot esculenta,2008,A,td:td3a:08,td:td3a:08, || begomovirus manihotis || begomovirus manihotis || complete || chad || chad || manihot esculenta || 2008 || td:td3a:08
KJ888099.1,,Begomovirus manihotis,Begomovirus manihotis,TD:TD4AB:08,A,"African cassava mosaic virus isolate TD:TD4AB:08 segment A, complete sequence",2729,complete,Chad,Chad,Manihot esculenta,2008,A,td:td4ab:08,td:td4ab:08, || begomovirus manihotis || begomovirus manihotis || complete || chad || chad || manihot esculenta || 2008 || td:td4ab:08
KJ888100.1,,Begomovirus manihotis,Begomovirus manihotis,TD:TD6AB:08,A,"African cassava mosaic virus isolate TD:TD6AB:08 segment A, complete sequence",2782,complete,Chad,Chad,Manihot esculenta,2008,A,td:td6ab:08,td:td6ab:08, || begomovirus manihotis || begomovirus manihotis || complete || chad || chad || manihot esculenta || 2008 || td:td6ab:08
HG530110.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI64:12,DNA A,"African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI64:12",2780,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi64:12,ke:mtw:cmd-mi64:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi64:12
HG530111.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI79:12,DNA A,"African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI79:12",2780,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi79:12,ke:mtw:cmd-mi79:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi79:12
HG530117.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI73:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI73:12",2724,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,B,ke:mtw:cmd-mi73:12,ke:mtw:cmd-mi73:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi73:12
HG530118.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI74:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI74:12",2706,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,B,ke:mtw:cmd-mi74:12,ke:mtw:cmd-mi74:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi74:12
HG530119.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI77:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI77:12",2724,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,B,ke:mtw:cmd-mi77:12,ke:mtw:cmd-mi77:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi77:12
HG530120.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI75:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI75:12",2725,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,B,ke:mtw:cmd-mi75:12,ke:mtw:cmd-mi75:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi75:12
HG530121.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI83:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI83:12",2724,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,B,ke:mtw:cmd-mi83:12,ke:mtw:cmd-mi83:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi83:12
HG530122.1,,Begomovirus manihotis,Begomovirus manihotis,KE:mtw:CMD-MI92:12,DNA B,"African cassava mosaic virus DNA B complete sequence, isolate KE:mtw:CMD-MI92:12",2723,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,B,ke:mtw:cmd-mi92:12,ke:mtw:cmd-mi92:12, || begomovirus manihotis || begomovirus manihotis || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi92:12
JX658682.1,,Begomovirus manihotis,Begomovirus manihotis,,,"UNVERIFIED: African cassava mosaic virus clone ACMV[Ma:07:4N] AV2 gene, complete cds; CP-like gene, complete sequence; and REn, TrAP, and Rep genes, complete cds",2812,complete,Malawi,Malawi,Manihot esculenta,,UNKNOWN,,, || begomovirus manihotis || begomovirus manihotis || complete || malawi || malawi || manihot esculenta ||  || 
HE979758.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI17:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI17:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi17:12],acmv-[ug:nam:cmd-mi17:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi17:12]
HE979759.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI19:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI19:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi19:12],acmv-[ug:nam:cmd-mi19:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi19:12]
HE979760.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI22:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI22:12], complete genome",2780,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi22:12],acmv-[ug:nam:cmd-mi22:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi22:12]
HE979761.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI24:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI24:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi24:12],acmv-[ug:nam:cmd-mi24:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi24:12]
HE979762.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI26:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI26:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi26:12],acmv-[ug:nam:cmd-mi26:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi26:12]
HE979763.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI27:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI27:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi27:12],acmv-[ug:nam:cmd-mi27:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi27:12]
HE979764.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI28:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI28:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi28:12],acmv-[ug:nam:cmd-mi28:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi28:12]
HE979765.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI29:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI29:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi29:12],acmv-[ug:nam:cmd-mi29:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi29:12]
HE979766.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI31:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI31:12], complete genome",2780,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi31:12],acmv-[ug:nam:cmd-mi31:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi31:12]
HE979767.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI33:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI33:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi33:12],acmv-[ug:nam:cmd-mi33:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi33:12]
HE979768.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI34:12],DNA-A,"African cassava mosaic virus segment DNA-A, isolate ACMV-[UG:Nam:CMD-MI34:12], complete genome",2781,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,acmv-[ug:nam:cmd-mi34:12],acmv-[ug:nam:cmd-mi34:12], || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi34:12]
HE979781.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[UG:Nam:CMD-MI1:12]DNA-B,DNA-B,"African cassava mosaic virus segment DNA-B, isolate ACMV-[UG:Nam:CMD-MI1:12]DNA-B, complete genome",2724,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,B,acmv-[ug:nam:cmd-mi1:12]dna-b,acmv-[ug:nam:cmd-mi1:12]dna, || begomovirus manihotis || begomovirus manihotis || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || acmv-[ug:nam:cmd-mi1:12]dna
