Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_004676,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,,B,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda || uganda ||  ||  || 
JN053433,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B3J1,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B3J1 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b3j1,b3j1, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b3j1
JN053434,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B3J13,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B3J13 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b3j13,b3j13, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b3j13
JN053435,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B4J15,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B4J15 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b4j15,b4j15, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b4j15
JN053436,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,BxJ4,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate BxJ4 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,bxj4,bxj4, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || bxj4
JN053437,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K2J4,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K2J4 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k2j4,k2j4, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k2j4
JN053438,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K4J3,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K4J3 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k4j3,k4j3, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k4j3
JN053439,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B2J13,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B2J13 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b2j13,b2j13, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b2j13
JN053440,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B3J2,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B3J2 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b3j2,b3j2, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b3j2
JN053441,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B4J3,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B4J3 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b4j3,b4j3, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b4j3
JN053442,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B5J3,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B5J3 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b5j3,b5j3, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b5j3
JN053443,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,BxJ5,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate BxJ5 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,bxj5,bxj5, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || bxj5
JN053444,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K1J3,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K1J3 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k1j3,k1j3, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k1j3
JN053445,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K3J4,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K3J4 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k3j4,k3j4, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k3j4
JN053446,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K5J6,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K5J6 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k5j6,k5j6, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k5j6
JN053447,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B2J2,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B2J2 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b2j2,b2j2, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b2j2
JN053448,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B3J3,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B3J3 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b3j3,b3j3, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b3j3
JN053449,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B4J5,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B4J5 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b4j5,b4j5, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b4j5
JN053450,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B5J15,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B5J15 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b5j15,b5j15, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b5j15
JN053451,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,BxJ15,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate BxJ15 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,bxj15,bxj15, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || bxj15
JN053452,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K2J3,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K2J3 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k2j3,k2j3, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k2j3
JN053453,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,K4J1,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate K4J1 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,k4j1,k4j1, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || k4j1
JN053454,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,S1J12,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate S1J12 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,s1j12,s1j12, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || s1j12
JN053455,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,S4J1,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate S4J1 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,s4j1,s4j1, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || s4j1
JN053456,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,S3C1,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate S3C1 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Manihot esculenta,2009-08-29,A,s3c1,s3c1, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || manihot esculenta || 2009-08-29 || s3c1
JN053457,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B2C5,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B2C5 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Manihot esculenta,2009-08-29,A,b2c5,b2c5, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || manihot esculenta || 2009-08-29 || b2c5
JN053458,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,S4C6,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate S4C6 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Manihot esculenta,2009-08-29,A,s4c6,s4c6, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || manihot esculenta || 2009-08-29 || s4c6
JN053459,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B3C2,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B3C2 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Manihot esculenta,2009-08-29,A,b3c2,b3c2, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || manihot esculenta || 2009-08-29 || b3c2
FM877474,,East African cassava mosaic virus-Uganda BFA/2008,Begomovirus manihotisafricaense,Burkina Faso-Koubri-2008,,"East African cassava mosaic virus-Uganda BFA/2008 complete genome, isolate Burkina Faso-Koubri-2008",2799,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2008-08,UNKNOWN,burkina faso-koubri-2008,burkina faso-koubri-2008, || east african cassava mosaic virus-uganda bfa/2008 || begomovirus manihotisafricaense || complete || burkina faso || burkina faso || manihot esculenta || 2008-08 || burkina faso-koubri-2008
AY676464,,East African cassava mosaic virus,Begomovirus manihotisafricaense,15,DNA-A,"East African cassava mosaic virus DNA-A defective genome segment, complete sequence",1525,complete,Tanzania,Tanzania,,,A,15,15, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || tanzania || tanzania ||  ||  || 15
AF230375,,East African cassava mosaic virus-[Uganda1],Begomovirus manihotisafricaense,,DNA-B,"East African cassava mosaic virus-[Uganda1] DNA-B, complete sequence",2780,complete,,,,,B,,, || east african cassava mosaic virus-[uganda1] || begomovirus manihotisafricaense || complete ||  ||  ||  ||  || 
