Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_011583.1,RefSeq,GCF_000882315.1,,,PRJNA485481,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,EACMKV-[K298],DNA A,"East African cassava mosaic Kenya virus DNA A, complete genome",2797,complete,"Kenya:Machakos, Mitaboni/Ngiini",Kenya,,Manihot esculenta,,"Bull,S.E., Briddon,R.W., Sserubombwe,W.S., Ngugi,K., Markham,P.G., Stanley,J.","National Center for Biotechnology Information, NIH",USA,1,,2008-11-14,ssDNA(+/-),A,eacmkv-[k298],eacmkv-[k298]," || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || kenya:machakos, mitaboni/ngiini || kenya || manihot esculenta ||  || eacmkv-[k298]"
JF909143.1,GenBank,set:fdd74b3c5f1da8f1807af3e3e144c78e9bc69a80,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO17BI1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO17BI1:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo17bi1:2009,comoros:moheli:mo17bi1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo17bi1:2009
JF909144.1,GenBank,set:3dfead97dbe614a061f15ce2f9e554bec97b8db4,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO18AP2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO18AP2:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo18ap2:2009,comoros:moheli:mo18ap2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo18ap2:2009
JF909145.1,GenBank,set:bdb43b4d45c8a6fbfad7620ce8c12212dea241a4,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO18BN1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO18BN1:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo18bn1:2009,comoros:moheli:mo18bn1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo18bn1:2009
JF909146.1,GenBank,set:9b9e6040979506359892a5c014f2d453197eb17d,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO20AZ2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO20AZ2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo20az2:2009,comoros:moheli:mo20az2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo20az2:2009
JF909147.1,GenBank,set:db87ce6a3b82a494b1e3b4a438313d70a222113d,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO20BS1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO20BS1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo20bs1:2009,comoros:moheli:mo20bs1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo20bs1:2009
JF909148.1,GenBank,set:dfdb0a913510a18d898bf2ee547252f1559fe5a8,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO21AH3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO21AH3:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo21ah3:2009,comoros:moheli:mo21ah3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo21ah3:2009
JF909172.1,GenBank,set:d7b1973f74df1572f0ff2714ab10b7b4a14f3ffc,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Mayotte:YT14B79:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Mayotte:YT14B79:2005 segment DNA-A, complete sequence",2797,complete,Mayotte,Mayotte,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2005,2012-06-20,ssDNA(+/-),A,comoros:mayotte:yt14b79:2005,comoros:mayotte:yt14b79:2005, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt14b79:2005
JF909186.1,GenBank,set:8166a954dbfa33da0807ddf1a2e6863f3e3f8914,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Mayotte:YT45B12:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Mayotte:YT45B12:2008 segment DNA-A, complete sequence",2798,complete,Mayotte,Mayotte,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:mayotte:yt45b12:2008,comoros:mayotte:yt45b12:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt45b12:2008
JF909187.1,GenBank,set:09a6b805a337d8af403dd7ad951577416950a879,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Mayotte:YT48B08:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Mayotte:YT48B08:2008 segment DNA-A, complete sequence",2798,complete,Mayotte,Mayotte,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:mayotte:yt48b08:2008,comoros:mayotte:yt48b08:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt48b08:2008
JF909197.1,GenBank,set:baa1860977a56cdadfec663ea647bfca201c235f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Mayotte:YT64B02:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Mayotte:YT64B02:2008 segment DNA-A, complete sequence",2798,complete,Mayotte,Mayotte,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:mayotte:yt64b02:2008,comoros:mayotte:yt64b02:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt64b02:2008
JF909199.1,GenBank,set:0b2ffb63aa957a88069d070fc23116706b3dfbb2,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Mayotte:YT69B17:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Mayotte:YT69B17:2008 segment DNA-A, complete sequence",2798,complete,Mayotte,Mayotte,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:mayotte:yt69b17:2008,comoros:mayotte:yt69b17:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt69b17:2008
JF909200.1,GenBank,set:bc2f7e5dde920fe66eba216b704b279c6cd3a0d1,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ03AN3:2004,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ03AN3:2004 segment DNA-B, complete sequence",2764,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2004,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj03an3:2004,comoros:anjouan:aj03an3:2004, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj03an3:2004
JF909201.1,GenBank,set:20eadf75d740ffb46385120b891a094f912a0d4b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ04AS3:2004,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ04AS3:2004 segment DNA-B, complete sequence",2764,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2004,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj04as3:2004,comoros:anjouan:aj04as3:2004, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj04as3:2004
JF909202.1,GenBank,set:59bbf70e3fb50f99c708e1c1207dc9c29d35ffd5,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ10AK1:2005,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ10AK1:2005 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2005,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj10ak1:2005,comoros:anjouan:aj10ak1:2005, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2005 || comoros:anjouan:aj10ak1:2005
JF909203.1,GenBank,set:5d823b8d35d78a4e33afa244b808fe34e13590d3,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ15AK2:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ15AK2:2009 segment DNA-B, complete sequence",2766,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj15ak2:2009,comoros:anjouan:aj15ak2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj15ak2:2009
JF909204.1,GenBank,set:a8b2586c34fe346068ba9ba7c6a1e77afd87709c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ19AQ1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ19AQ1:2009 segment DNA-B, complete sequence",2761,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj19aq1:2009,comoros:anjouan:aj19aq1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj19aq1:2009
JF909205.1,GenBank,set:ed0fd555cab5b3618e3a9a2284189f73fc3589a4,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ20AF3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ20AF3:2009 segment DNA-B, complete sequence",2764,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj20af3:2009,comoros:anjouan:aj20af3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj20af3:2009
JF909206.1,GenBank,set:56887d09b7428f302d998ff5b4c8cbd2cfbe0df5,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ21AI3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ21AI3:2009 segment DNA-B, complete sequence",2765,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj21ai3:2009,comoros:anjouan:aj21ai3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj21ai3:2009
JF909207.1,GenBank,set:4ec12f3c1d1d4e2d8d253b24803e7adc713dcb8b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ23AS3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ23AS3:2009 segment DNA-B, complete sequence",2768,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj23as3:2009,comoros:anjouan:aj23as3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj23as3:2009
JF909208.1,GenBank,set:309309776250204a54ed4651ea67a5f5ad49cd37,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ23BE1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ23BE1:2009 segment DNA-B, complete sequence",2768,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj23be1:2009,comoros:anjouan:aj23be1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj23be1:2009
JF909209.1,GenBank,set:1bb7384606cfa1a8849f43ee5fd3065fe70fc960,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ24AY3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ24AY3:2009 segment DNA-B, complete sequence",2765,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj24ay3:2009,comoros:anjouan:aj24ay3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj24ay3:2009
JF909210.1,GenBank,set:6df43db5731be38071c4566e806f0878709ef17c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ25AE4:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ25AE4:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj25ae4:2009,comoros:anjouan:aj25ae4:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj25ae4:2009
JF909211.1,GenBank,set:3b44b9a9d014a4a5b96d6dd6c31c364d76785c8a,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ29AQ1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ29AQ1:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj29aq1:2009,comoros:anjouan:aj29aq1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj29aq1:2009
JF909212.1,GenBank,set:69e884ed6a07d1832725ec122bfda8f373c767c8,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Anjouan:AJ31AW1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ31AW1:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),B,comoros:anjouan:aj31aw1:2009,comoros:anjouan:aj31aw1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj31aw1:2009
JF909213.1,GenBank,set:c4843b91b0bc79cdb4e8d0b5039e5e1ced25fcdf,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC07AI3:2008,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC07AI3:2008 segment DNA-B, complete sequence",2744,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),B,comoros:grande-comore:gc07ai3:2008,comoros:grande-comore:gc07ai3:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc07ai3:2008
JF909214.1,GenBank,set:c3725a83b36a4da031fe476f29b928e000c83dbd,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC12AD4:2008,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC12AD4:2008 segment DNA-B, complete sequence",2745,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),B,comoros:grande-comore:gc12ad4:2008,comoros:grande-comore:gc12ad4:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc12ad4:2008
JF909215.1,GenBank,set:9c1d6960b747a689ce8453d52d8599bc516011d9,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC16AZ1:2004,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC16AZ1:2004 segment DNA-B, complete sequence",2754,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2004,2012-06-20,ssDNA(+/-),B,comoros:grande-comore:gc16az1:2004,comoros:grande-comore:gc16az1:2004, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2004 || comoros:grande-comore:gc16az1:2004
